sent	label
Reminder for daily reporting and attendance on mob app daily 9:00 am	Found
How will you remind me let me know	Not Found
Can u remind me till 11	Found
Call at 9 am every day	Not Found
Remind me to bid for flights on 13th december at 6 pm	Found
Reminder 11am tomorrorw buy bell for papu	Found
Remind me to book b tickets tonight by 10 pm	Found
Can you remind me to masturbate	Not Found
Reminder on invoice preparation	Found
1 alarm at 1 30am please. Ignore the 12 20am one	Found
One more reminder....2:00 pm ...today for meeting	Found
call sagar @5:30 pm	Found
I'm upset vth d reminder service	Found
Remind me to see. Concert at 7pm	Found
Remind me again after half an hour	Found
Need a reminder for payment and phone at 2pm	Found
Remind me tomorrow 11 am to pack gift for my college sir.	Found
Remind me on 1st dec to take appointment of those 2 customer at sanaswadi	Found
Remind me to play football at 10 5	Found
Weke up alarm I need morning	Found
Would you remind me to print the log sheet out today	Found
Cud u pls set up a recuring reminder	Found
Hey thanks for ur reminder	Found
Please remind me every Tuesday n Thursday for a meeting at Chopras, at 11 am	Found
Yes.. I'll surely use it.. When I need u to remind me something! Thank you	Not Found
Make it a everyday schedule	Found
What an early reminder?	Found
Remind me to pray daily at noon	Found
Okk	Not Found
Remind me of talking with RICS TODAY AT 11 AM ,	Found
Please set this for complete month	Found
1 jan 11.55	Found
Remind me to take my friend's car for wash on 12th before she comes back	Found
Remind me next month 16th for hepatitis B vaccination at 10am	Not Found
hieee	Not Found
Remind me to attend reception of Kishor Bhai's Son on 28th November	Found
Manali sir reminder aata nhi hai	Found
Cancl	Not Found
Thank you Sachin for your reminder...😊	Not Found
Reminder me to take print out	Found
I have to add reminder	Found
Remind me to renew my insurance of car on 20/11/2017	Found
Can the reminder be for 365 days?	Found
Call means what?	Not Found
Hey good morning	Found
Plz remind me to go to the gym at 9am	Found
Instead of 5 remind me at 5:30	Not Found
OK Tomo I want a reminder to b set	Found
I want to be set	Found
Plz remind ne	Found
Hey thanks. Reminder for what exactly?	Found
Hie can u remind me to finish Eis audit by 10 January	Found
Remaind for dinner at 7:08 on today	Not Found
It's ok... I'll let you know if I need any help	Not Found
Remind me from daily from today	Found
Please remind me to take a test at 4:30 pm tomorrow.	Found
Then remind me for studying at 3:30 pm	Found
Remind me to do my studies	Found
What is the reminder?	Found
Tell me something about haptik	Not Found
Remind me at 830 today - to carry S C O solution home	Found
Basket saaf krni h....remind me on 8 PM tomorrow	Found
what is the exam timing of bharatiya vidya bhavans clg churchgate for fyba today	Found
Reminder me at 9.00 am	Found
I want to meet my boss at around 3pm. So remind me about it at around 12	Found
Can you call me @ 8106683849	Not Found
Thx for reminder	Found
Please remind me after 2 .00 pm for today	Found
Remind me to watch star gold @9 pm	Found
Need reminder	Found
I need to change that reminder	Found
Close all the remainder	Found
Remind me to collect laptop bill NOC from bajaj finance on 10 march	Found
Do I have any reminders active for me??	Found
10:15 am	Not Found
there are legal matters for which i need to be present in court for... need to make different reminders	Found
Plz remind me go to home nd teck beg	Found
Please remind me at 8 am	Found
just set a call and notification reminder	Found
HI !!! Could you please set an alarm of 6:00 pm	Found
Can you please put my reminder in notifications of my mobile	Found
Can you please remind me for a vaccination at 8:30 pm.	Found
Can you remind me that I have to send my PPF form and details today. Secondly that I need to book my transit flight to Malaysia	Found
Remind me at 9 ,i gotta take drugs	Found
Can u schedule one more for me?	Not Found
Pls remind to mail to Shailendra by 11 pm today	Found
Also remind me of wrapping the gift for Samiran at 08:45	Found
Setup reminder	Found
Hi please remind me to go to doctor on 10th December at 12.30	Found
I want to delete all the reminders set till today	Found
Please remind me after 5 days to close the Lynda.com site	Found
Hi. Remind me everyday at 10pm to brush my teeth nd sleep	Found
Can u remember me for tablets at 12 at night	Found
Can you set me alarms	Not Found
Remind me to talk to ZEROGRAVITY ppl	Found
ReMind me	Not Found
And set a snooze for 4:30 am also	Not Found
Ya one more reminder	Found
The same u shud remind me every day	Found
Also remind me to get my bike insured at 11 am tommorow	Found
Remind me to book bus tickets	Found
You can remind me at 3.50am	Not Found
Can u remind me to study at 10:00 pm	Found
Change the reminder to 8:00 am	Found
Remind me booking cover my love	Found
Remind me i have to pay Lakshya 500 rupees	Found
Reminder me at 7.25	Found
Can you remind me about one more thing?	Found
Remind me at 11 am to do my PE project	Found
Can you remind me about my Books at 9:50 am	Found
Remind me to finishmy snap registration	Found
Do I need to enable the reminder gain and again	Found
Remind me to send a mail to Pooja bajaj at 9 in the night	Found
And set 2 remainder also	Found
Can you set an reminder for me?	Not Found
I would need you to remind me of some action items	Not Found
Remind me about NGO	Not Found
Pls tell me more about haptik	Found
8 AM	Not Found
Thanks i received a call	Found
Set the schedule	Found
Remind me in six months	Found
Another reminder for making a transfer certificate for vihaan	Not Found
Business meeting to Chitradurga on 23 Nov 2016	Found
Set this reminder on 902109077	Found
Remind me to buy eggs at 9:11 pm today	Found
8th may 12 o clock	Found
Need to set one more alarm	Found
remind about mastrubating	Not Found
Remind me at 9:15p.m. today on 23 december 2016	Found
Dint get the reminder last time	Found
Hello Gloria!	Found
Wish Birthday Name: Rashmitha Date: April 14, 2017 Time: 11 55 pm	Found
10 December	Not Found
This one remind me to get the box from my friend's place.	Found
Remind me for my leave plan for Jan	Not Found
263/pw/10 Pl remind on 6/2/17	Found
remind me tommorow to fill my loan application	Found
Just remind me to go outside at 4:00 pm	Found
Remind on 22 nov	Found
Hi can u please remind me about time end of newspaper	Found
I need a reminder for November 2017	Not Found
Thanks for this awesome reminder 😊	Found
Remind me of vedant appointment cardiologist at 11 am on21 november	Not Found
Can you tell how to set dnd	Found
remind me to wish chiriya	Found
Remind me to attend Yashraj's engagement	Found
Remind me my lpg Botel booking	Found
Remind me to buy excel matic today @ 8.00 pm	Found
Pls remind me to attend marriage on 21 January 9 am of Patel at keshavbag party plot	Found
Can u pls set an alarm for 8 in the morning for tomorrow	Found
Remind me on 7th January at 8 pm for TV program	Found
Hi Good Morning .. Thanks for this assistance... Yes pls help me out with to do list	Found
Old remember and this same	Found
Hey can you remind me every 1 hour from 8am to 12 pm everday?	Found
Sure i will aftr wkeup call	Not Found
Remind me to pack for my college by tomorrow 5pm	Found
I am done with my schedule	Found
Remind me about it rectification	Found
Amd please remind me to do microbial metabolism at 11am today	Found
Just remind me every 1 of every month	Not Found
Today 745 am, pl remind me about serahs birth certificate	Not Found
tell me about this	Found
Remind me for Monday's interview with govt of India	Found
Plz remind me only in afternoon	Found
Thank u soooo much for reminding me 😘😘😘	Found
OK ! I am about to do it !	Found
Abhi tho remind kiya dhas minute ke pehle 😂	Found
Everyday reminder	Found
Three alarms	Not Found
Also.. Plz remind me to collect diary from shop tomorow at 7.30 pm	Found
